Year,Electorate,Party,PVI
1996,Te Tai Tokerau,ACT,-0.051472657
1996,Te Tai Tokerau,Alliance/Progressive,-0.018813196
1996,Te Tai Tokerau,Conservative,-0.025807458
1996,Te Tai Tokerau,Labour,-0.045849017
1996,Te Tai Tokerau,National,-0.273576486
1996,Te Tai Tokerau,NZ First,0.379503677
1996,Te Tai Tokerau,Other,0.044214155
1996,Te Tai Tokerau,United,-0.00796927
1996,Te Tai Tonga,ACT,-0.048573587
1996,Te Tai Tonga,Alliance/Progressive,0.016478623
1996,Te Tai Tonga,Conservative,-0.022509258
1996,Te Tai Tonga,Labour,0.05902749
1996,Te Tai Tonga,National,-0.248282837
1996,Te Tai Tonga,NZ First,0.192752432
1996,Te Tai Tonga,Other,0.057176486
1996,Te Tai Tonga,United,-0.00606935
1996,Tukituki,ACT,0.006219714
1996,Tukituki,Alliance/Progressive,-0.004430996
1996,Tukituki,Conservative,0.007285633
1996,Tukituki,Labour,0.023397073
1996,Tukituki,National,-0.010215523
1996,Tukituki,NZ First,-0.021158747
1996,Tukituki,Other,0.002672696
1996,Tukituki,United,-0.00376985
1996,Upper Harbour,ACT,0.035707117
1996,Upper Harbour,Alliance/Progressive,-0.038333834
1996,Upper Harbour,Conservative,0.002181544
1996,Upper Harbour,Labour,-0.073314001
1996,Upper Harbour,National,0.117826182
1996,Upper Harbour,NZ First,-0.036866784
1996,Upper Harbour,Other,-0.005629433
1996,Upper Harbour,United,-0.00157079
1996,Waiariki,ACT,-0.051772687
1996,Waiariki,Alliance/Progressive,-0.040915406
1996,Waiariki,Conservative,-0.024007278
1996,Waiariki,Labour,-0.001244557
1996,Waiariki,National,-0.292678396
1996,Waiariki,NZ First,0.373403067
1996,Waiariki,Other,0.045384547
1996,Waiariki,United,-0.00816929
1996,Waikato,ACT,0.014426413
1996,Waikato,Alliance/Progressive,-0.025021377
1996,Waikato,Conservative,0.008090742
1996,Waikato,Labour,-0.07957251
1996,Waikato,National,0.072517163
1996,Waikato,NZ First,0.020252432
1996,Waikato,Other,-0.009529334
1996,Waikato,United,-0.00096935
1996,Waimakariri,ACT,-0.020273587
1996,Waimakariri,Alliance/Progressive,0.016078623
1996,Waimakariri,Conservative,0.003890742
1996,Waimakariri,Labour,0.00892749
1996,Waimakariri,National,0.031917163
1996,Waimakariri,NZ First,-0.026747568
1996,Waimakariri,Other,-0.010429334
1996,Waimakariri,United,-0.00316935
1996,Wairarapa,ACT,0.005919744
1996,Wairarapa,Alliance/Progressive,0.028165744
1996,Wairarapa,Conservative,-0.004013238
1996,Wairarapa,Labour,-0.039396647
1996,Wairarapa,National,-0.003516193
1996,Wairarapa,NZ First,0.020937044
1996,Wairarapa,Other,-0.005426494
1996,Wairarapa,United,-0.00266996
1996,Waitākere,ACT,0.005119824
1996,Waitākere,Alliance/Progressive,-0.006830756
1996,Waitākere,Conservative,0.003785983
1996,Waitākere,Labour,0.014597953
1996,Waitākere,National,0.002683187
1996,Waitākere,NZ First,-0.025458317
1996,Waitākere,Other,0.009366226
1996,Waitākere,United,-0.00306992
1996,Waitaki,ACT,-0.007568266
1996,Waitaki,Alliance/Progressive,0.018190504
1996,Waitaki,Conservative,-0.003205198
1996,Waitaki,Labour,0.010856653
1996,Waitaki,National,0.004451317
1996,Waitaki,NZ First,-0.014835757
1996,Waitaki,Other,-0.005590826
1996,Waitaki,United,-0.00206868
1996,Wellington Bays,ACT,-0.009083925
1996,Wellington Bays,Alliance/Progressive,0.015855328
1996,Wellington Bays,Conservative,-0.012715477
1996,Wellington Bays,Labour,0.051760984
1996,Wellington Bays,National,0.010447657
1996,Wellington Bays,NZ First,-0.071759805
1996,Wellington Bays,Other,0.006962268
1996,Wellington Bays,United,0.008727151
1996,Wellington North,ACT,0.006346549
1996,Wellington North,Alliance/Progressive,-0.012094819
1996,Wellington North,Conservative,-0.019201876
1996,Wellington North,Labour,-0.021894846
1996,Wellington North,National,0.122755115
1996,Wellington North,NZ First,-0.095736405
1996,Wellington North,Other,-0.000118861
1996,Wellington North,United,0.020139323
1996,West Coast-Tasman,ACT,-0.023269837
1996,West Coast-Tasman,Alliance/Progressive,0.062194905
1996,West Coast-Tasman,Conservative,-0.003405218
1996,West Coast-Tasman,Labour,0.029258493
1996,West Coast-Tasman,National,-0.051854314
1996,West Coast-Tasman,NZ First,-0.010235297
1996,West Coast-Tasman,Other,0.001980206
1996,West Coast-Tasman,United,-0.00466894
1996,Whanganui,ACT,-0.016273587
1996,Whanganui,Alliance/Progressive,0.024278623
1996,Whanganui,Conservative,0.006890742
1996,Whanganui,Labour,-0.03017251
1996,Whanganui,National,0.007217163
1996,Whanganui,NZ First,0.016252432
1996,Whanganui,Other,-0.005723514
1996,Whanganui,United,-0.00246935
1996,Whangaparāoa,ACT,0.023634854
1996,Whangaparāoa,Alliance/Progressive,-0.021413456
1996,Whangaparāoa,Conservative,0.010496173
1996,Whangaparāoa,Labour,-0.075952028
1996,Whangaparāoa,National,0.050855957
1996,Whangaparāoa,NZ First,0.022167944
1996,Whangaparāoa,Other,-0.007626594
1996,Whangaparāoa,United,-0.00196867
1996,Whangārei,ACT,0.004619874
1996,Whangārei,Alliance/Progressive,-0.014330006
1996,Whangārei,Conservative,0.006085753
1996,Whangārei,Labour,-0.045296057
1996,Whangārei,National,-0.004216123
1996,Whangārei,NZ First,0.064132724
1996,Whangārei,Other,-0.007132124
1996,Whangārei,United,-0.00366986
1996,Wigram,ACT,-0.029582944
1996,Wigram,Alliance/Progressive,0.08232374
1996,Wigram,Conservative,0.003176646
1996,Wigram,Labour,0.029934278
1996,Wigram,National,-0.030274879
1996,Wigram,NZ First,-0.04887279
1996,Wigram,Other,-0.007731761
1996,Wigram,United,0.001027711
1999,Auckland Central,ACT,0.024550798
1999,Auckland Central,Alliance/Progressive,-0.006843012
1999,Auckland Central,Conservative,-0.020812976
1999,Auckland Central,Green,0.083628369
1999,Auckland Central,Labour,0.012560884
1999,Auckland Central,National,-0.064722992
1999,Auckland Central,NZ First,-0.021528429
1999,Auckland Central,Other,-0.005527457
1999,Auckland Central,United,-0.001305185
1999,Banks Peninsula,ACT,-0.005468066
1999,Banks Peninsula,Alliance/Progressive,0.007243025
1999,Banks Peninsula,Conservative,-0.002915737
1999,Banks Peninsula,Green,0.019901424
1999,Banks Peninsula,Labour,-0.009518371
